Index;IsIncluded;Filename;StartTime;StopTime;Chapter
339;FALSE;Bashar - The Passing of the Baton  4of4.m4a;;;
340;FALSE;Bashar - Respecting Your Choices  1of4.mp3;;;
341;FALSE;Bashar - Respecting Your Choices  2of4.mp3;;;
342;FALSE;Bashar - Respecting Your Choices  3of4.mp3;;;
343;FALSE;Bashar - Respecting Your Choices  4of4.mp3;;;
344;FALSE;Bashar - Respecting Your Choices (Monologue).aac;;;
345;FALSE;Bashar - Resonance of the Land.mp3;;;
346;FALSE;Bashar - 3D Perspective  1of4.mp3;;;
347;FALSE;Bashar - 3D Perspective  2of4.mp3;;;
348;FALSE;Bashar - 3D Perspective  3of4.mp3;;;
349;FALSE;Bashar - 3D Perspective  4of4.mp3;;;
350;FALSE;Bashar - A New habit  1of3.mp3;;;
351;FALSE;Bashar - A New habit  2of3.mp3;;;
352;FALSE;Bashar - A New habit  3of3.mp3;;;
353;FALSE;Bashar - The Geometric Energy Shells  1of3.mp3;;;
354;FALSE;Bashar - The Geometric Energy Shells  2of3.mp3;;;
355;FALSE;Bashar - The Geometric Energy Shells  3of3.mp3;;;
356;FALSE;Bashar - Gravity  1of4.mp3;;;
357;FALSE;Bashar - Gravity  2of4.mp3;;;
358;FALSE;Bashar - Gravity  3of4.mp3;;;
359;FALSE;Bashar - Gravity  4of4.mp3;;;
360;FALSE;Bashar - Thirty Points of View  1of4.mp3;;;
361;FALSE;Bashar - Thirty Points of View  2of4.mp3;;;
362;FALSE;Bashar - Thirty Points of View  3of4.mp3;;;
363;FALSE;Bashar - Thirty Points of View  4of4.mp3;;;
364;FALSE;Bashar - Creative Conflict  1of4.mp3;;;
365;FALSE;Bashar - Creative Conflict  2of4.mp3;;;
366;FALSE;Bashar - Creative Conflict  3of4.mp3;;;
367;FALSE;Bashar - Creative Conflict  4of4.mp3;;;
368;FALSE;Bashar - Illumination  1of4.mp3;;;
369;FALSE;Bashar - Illumination  2of4.mp3;;;
370;FALSE;Bashar - Illumination  3of4.mp3;;;
371;FALSE;Bashar - Illumination  4of4.mp3;;;
372;FALSE;Bashar - The 13th Floor  1of3.mp3;;;
373;FALSE;Bashar - The 13th Floor  2of3.mp3;;;
374;FALSE;Bashar - The 13th Floor  3of3.mp3;;;
375;FALSE;Bashar - Dolphins and Whales  1of2.mp3;;;
376;FALSE;Bashar - Dolphins and Whales  2of2.mp3;;;
377;FALSE;Bashar - The Tides of March  1of4.mp3;;;
378;FALSE;Bashar - The Tides of March  2of4.mp3;;;
379;FALSE;Bashar - The Tides of March  3of4.mp3;;;
380;FALSE;Bashar - The Tides of March  4of4.mp3;;;
381;FALSE;Bashar - The Money  1of2.mp3;;;
382;FALSE;Bashar - The Money  2of2.mp3;;;
383;FALSE;Bashar - Beyond Belief  1of4.mp3;;;
384;FALSE;Bashar - Beyond Belief  2of4.mp3;;;
385;FALSE;Bashar - Beyond Belief  3of4.mp3;;;
386;FALSE;Bashar - Beyond Belief  4of4.mp3;;;
387;FALSE;Bashar - Unlimited Possibilities  1of4.mp3;;;
388;FALSE;Bashar - Unlimited Possibilities  2of4.mp3;;;
389;FALSE;Bashar - Unlimited Possibilities  3of4.mp3;;;
390;FALSE;Bashar - Unlimited Possibilities  4of4.mp3;;;
391;FALSE;Bashar - Surrender.mp3;;;
392;FALSE;Bashar - Surrender to Peace.mp3;;;
393;FALSE;Bashar - Association Business 1.mp3;;;
394;FALSE;Bashar - Creating Your Reality - The Four Laws (from video).mp3;;;
395;FALSE;Bashar - Creating Your Reality - The Four Laws.mp3;;;
396;FALSE;Bashar - Association Business 2.mp3;;;
397;FALSE;Bashar - Purring  1of4.mp3;;;
398;FALSE;Bashar - Purring  2of4.mp3;;;
399;FALSE;Bashar - Purring  3of4.mp3;;;
400;FALSE;Bashar - Purring  4of4.mp3;;;
401;FALSE;Bashar - A Time of Change.mp3;;;
402;FALSE;Bashar - Fourth Density Balancing Act  1of4.mp3;;;
403;FALSE;Bashar - Fourth Density Balancing Act  2of4.mp3;;;
404;FALSE;Bashar - Fourth Density Balancing Act  3of4.mp3;;;
405;FALSE;Bashar - Fourth Density Balancing Act  4of4.mp3;;;
406;FALSE;Bashar - End of Time.mp3;;;
407;FALSE;Bashar - Denial, Separation & Projection.mp3;;;
408;FALSE;Bashar - The Illusion Of Power.mp3;;;
409;FALSE;Bashar - Diving into the unknown.mp3;;;
410;FALSE;Bashar - R.S.V.P.aac;;;
411;FALSE;Bashar - Paradox of Unity (Japan Removed).mp3;;;
412;FALSE;Bashar - The Paradox of Unity  1of2.mp3;;;
413;FALSE;Bashar - The Paradox of Unity  2of2.mp3;;;
414;FALSE;Bashar - Our Future in the 21st Century.mp3;;;
415;FALSE;Bashar - Earth in Transition  1of2.mp3;;;
416;FALSE;Bashar - Earth in Transition  2of2.mp3;;;
417;FALSE;Bashar - Manifesting Your Dreams in the 21st Century  1of2.mp3;;;
418;FALSE;Bashar - Manifesting Your Dreams in the 21st Century  2of2.mp3;;;
419;FALSE;Bashar - Creative Spiritual Expression  1of2.aac;;;
420;FALSE;Bashar - Creative Spiritual Expression  2of2.aac;;;
421;FALSE;Bashar - Explorations With Bashar  1of2.aac;;;
422;FALSE;Bashar - Explorations With Bashar  2of2.aac;;;
423;FALSE;Bashar - The Paradox Connection  1of2.aac;;;
424;FALSE;Bashar - The Paradox Connection  2of2.aac;;;
